path|romaji
kusamakura-by-soseki-natsume-00001|kusamakura natsume souseki
kusamakura-by-soseki-natsume-00002|yama michi wo nobori nagara , kou kangae ta . chi ni hatarake ba kado ga tatsu .
kusamakura-by-soseki-natsume-00003|jou ni saosase ba nagasa reru . iji wo toose ba kyuukutsu da .
kusamakura-by-soseki-natsume-00004|tokaku ni nin no yo ha sumi nikui . sumi niku sa ga koujiru to ,
kusamakura-by-soseki-natsume-00005|yasui tokoro he hikikoshi taku naru . doko he koshi te mo
kusamakura-by-soseki-natsume-00006|sumi nikui to satotsu ta toki , shi ga umare te ,
kusamakura-by-soseki-natsume-00007|e ga dekiru . nin no yo wo tsukutsu ta mono ha kami de mo nakere ba oni de mo nai .
kusamakura-by-soseki-natsume-00008|yahari mukou san ken ryou donari ni chirachira suru tada no nin de aru .
kusamakura-by-soseki-natsume-00009|tada no nin ga tsukutsu ta nin no yo ga sumi nikui kara tote ,
kusamakura-by-soseki-natsume-00010|kosu kuni ha aru mai . are ba nindenashi no kuni he iku bakari da .
kusamakura-by-soseki-natsume-00011|nindenashi no kuni ha nin no yo yori mo nao sumi nikukarou .
kusamakura-by-soseki-natsume-00012|kosu koto no nara nu yo ga sumi nikukere ba , sumi nikui tokoro wo dore hodo ka , kutsuroge te ,
kusamakura-by-soseki-natsume-00013|tsukanoma no inochi wo , tsukanoma de mo sumi yoku se ne ba nara nu .
kusamakura-by-soseki-natsume-00014|koko ni shijin to iu tenshoku ga deki te , koko ni gaka to iu shimei ga kudaru .
kusamakura-by-soseki-natsume-00015|arayuru geijutsu no samurai ha nin no yo wo nodoka ni shi , nin no kokoro wo yutaka ni suru ga yue ni tattoi .
kusamakura-by-soseki-natsume-00016|sumi nikuki yo kara , sumi niku kiwa zurai wo hikinui te ,
kusamakura-by-soseki-natsume-00017|arigatai sekai wo manoatari ni utsusu no ga shi de aru ,
kusamakura-by-soseki-natsume-00018|e de aru . aru ha ongaku to choukoku de aru .
kusamakura-by-soseki-natsume-00019|komaka ni ie ba utsusa nai de mo yoi . tada
kusamakura-by-soseki-natsume-00020|manoatari ni mire ba , soko ni shi mo iki , uta mo waku .
kusamakura-by-soseki-natsume-00021|chakusou wo kami ni otosa nu tomo
kusamakura-by-soseki-natsume-00022|kyuusou no on ha kyo uri ni okoru . tan sei ha ga ka ni mutsu te to matsu se n de mo
